,Name,Code,Big Theme,Theme,Source,Source acronym,Comment,Last update,Frequency,Measure,Unit,Status
Importações (FOB) - origem: Guiné,Importações (FOB) - origem: Guiné,SECEX12_M329FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Guiné. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Mensal,US$,,A
Importações (FOB) - origem: Guiné Equatorial,Importações (FOB) - origem: Guiné Equatorial,SECEX12_M331FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Guiné Equatorial. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Mensal,US$,,A
Importações (FOB) - origem: Guiné-Bissau,Importações (FOB) - origem: Guiné-Bissau,SECEX12_M334FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Guiné-Bissau. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Mensal,US$,,A
Importações (FOB) - origem: Guiana,Importações (FOB) - origem: Guiana,SECEX12_M337FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Guiana. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Mensal,US$,,A
Importações (FOB) - origem: Haiti,Importações (FOB) - origem: Haiti,SECEX12_M341FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Haiti. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Mensal,US$,,A
Importações (FOB) - origem: Honduras,Importações (FOB) - origem: Honduras,SECEX12_M345FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Honduras. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Mensal,US$,,A
Importações (FOB) - origem: Hong Kong,Importações (FOB) - origem: Hong Kong,SECEX12_M351FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Hong Kong. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Mensal,US$,,A
Importações (FOB) - origem: Hungria,Importações (FOB) - origem: Hungria,SECEX12_M355FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Hungria. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Mensal,US$,,A
Importações (FOB) - origem: Iêmen,Importações (FOB) - origem: Iêmen,SECEX12_M357FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem:  Iêmen. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Mensal,US$,,A
"Importações (FOB) - origem: Man, Ilha de","Importações (FOB) - origem: Man, Ilha de",SECEX12_M359FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Man, Ilha de. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Mensal,US$,,A
Importações (FOB) - origem: Índia,Importações (FOB) - origem: Índia,SECEX12_M361FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Índia. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Mensal,US$,,A
Importações (FOB) - origem: Indonésia,Importações (FOB) - origem: Indonésia,SECEX12_M365FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Indonésia. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Mensal,US$,,A
Importações (FOB) - origem: Inglaterra,Importações (FOB) - origem: Inglaterra,SECEX12_M367FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Inglaterra. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T10:08:00.523-03:00,Mensal,US$,,A
Importações (FOB) - origem: Iraque,Importações (FOB) - origem: Iraque,SECEX12_M369FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Iraque. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Mensal,US$,,A
"Importações (FOB) - origem: Irã, República Islâmica do","Importações (FOB) - origem: Irã, República Islâmica do",SECEX12_M372FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Irã, República Islâmica do. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Mensal,US$,,A
Importações (FOB) - origem: Irlanda,Importações (FOB) - origem: Irlanda,SECEX12_M375FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Irlanda. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Mensal,US$,,A
Importações (FOB) - origem: Islândia,Importações (FOB) - origem: Islândia,SECEX12_M379FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Islândia. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Mensal,US$,,A
Importações (FOB) - origem: Israel,Importações (FOB) - origem: Israel,SECEX12_M383FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Israel. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Mensal,US$,,A
Importações (FOB) - origem: Itália,Importações (FOB) - origem: Itália,SECEX12_M386FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Itália. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Mensal,US$,,A
Importações (FOB) - origem: Iugoslávia,Importações (FOB) - origem: Iugoslávia,SECEX12_M388FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Iugoslávia. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T10:08:00.523-03:00,Mensal,US$,,A
Importações (FOB) - origem: Jamaica,Importações (FOB) - origem: Jamaica,SECEX12_M391FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Jamaica. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Mensal,US$,,A
"Importações (FOB) - origem: Johnston, Ilha","Importações (FOB) - origem: Johnston, Ilha",SECEX12_M396FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Johnston, Ilha. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Mensal,US$,,A
Importações (FOB) - origem: Japão,Importações (FOB) - origem: Japão,SECEX12_M399FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Japão. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Mensal,US$,,A
Importações (FOB) - origem: Jordânia,Importações (FOB) - origem: Jordânia,SECEX12_M403FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Jordânia. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Mensal,US$,,A
Importações (FOB) - origem: Kiribati,Importações (FOB) - origem: Kiribati,SECEX12_M411FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Kiribati. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Mensal,US$,,A
"Importações (FOB) - origem: Laos, República Popular Democrática do","Importações (FOB) - origem: Laos, República Popular Democrática do",SECEX12_M420FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Laos, República Popular Democrática do. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Mensal,US$,,A
"Importações (FOB) - origem: Lebuan, Ilhas","Importações (FOB) - origem: Lebuan, Ilhas",SECEX12_M423FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Lebuan, Ilhas. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Mensal,US$,,A
Importações (FOB) - origem: Lesoto,Importações (FOB) - origem: Lesoto,SECEX12_M426FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Lesoto. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Mensal,US$,,A
Importações (FOB) - origem: Letônia,Importações (FOB) - origem: Letônia,SECEX12_M427FOB12,Macroeconômico,Comércio exterior,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",MDIC/SECEX Países,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Letônia. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Mensal,US$,,A
