,CODE,NAME,COMMENT,LAST UPDATE,BIG THEME,SOURCE ACRONYM,SOURCE,SOURCE URL,FREQUENCY,MEASURE,UNIT,SERIES STATUS,THEME CODE,COUNTRY,NUMERICA
2128,SECEX12_M150FOB12,"Importações (FOB) - origem: Canal, Ilhas do","As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Canal, Ilhas do. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2129,SECEX12_M151FOB12,"Importações (FOB) - origem: Canárias, Ilhas","As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Canárias, Ilhas. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2130,SECEX12_M153FOB12,Importações (FOB) - origem: Cazaquistão,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Cazaquistão. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2131,SECEX12_M154FOB12,Importações (FOB) - origem: Catar,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Catar. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2132,SECEX12_M158FOB12,Importações (FOB) - origem: Chile,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Chile. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2133,SECEX12_M160FOB12,Importações (FOB) - origem: China,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: China. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2134,SECEX12_M161FOB12,Importações (FOB) - origem: Taiwan (Formosa),"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Taiwan (Formosa). O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2135,SECEX12_M163FOB12,Importações (FOB) - origem: Chipre,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Chipre. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2136,SECEX12_M165FOB12,"Importações (FOB) - origem: Cocos (Keeling), Ilhas","As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Cocos (Keeling), Ilhas. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2137,SECEX12_M169FOB12,Importações (FOB) - origem: Colômbia,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Colômbia. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2138,SECEX12_M173FOB12,"Importações (FOB) - origem: Comores, Ilhas","As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Comores, Ilhas. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2139,SECEX12_M177FOB12,Importações (FOB) - origem: Congo,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Congo. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2140,SECEX12_M183FOB12,"Importações (FOB) - origem: Cook, Ilhas","As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Cook, Ilhas. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2141,SECEX12_M187FOB12,"Importações (FOB) - origem: Coreia, República Popular Democrática (Norte)","As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Coreia, República Popular Democrática (Norte). O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2142,SECEX12_M190FOB12,"Importações (FOB) - origem: Coreia, República da (Sul)","As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Coreia, República da (Sul). O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2143,SECEX12_M193FOB12,Importações (FOB) - origem: Costa do Marfim,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Costa do Marfim. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2144,SECEX12_M195FOB12,Importações (FOB) - origem: Croácia,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Croácia. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2145,SECEX12_M196FOB12,Importações (FOB) - origem: Costa Rica,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Costa Rica. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2146,SECEX12_M198FOB12,Importações (FOB) - origem: Coveite (Kuwait),"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Coveite (Kuwait). O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2147,SECEX12_M199FOB12,Importações (FOB) - origem: Cuba,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Cuba. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2148,SECEX12_M229FOB12,Importações (FOB) - origem: Benin,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Benin. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2149,SECEX12_M232FOB12,Importações (FOB) - origem: Dinamarca,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Dinamarca. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2150,SECEX12_M235FOB12,"Importações (FOB) - origem: Dominica, Ilha de","As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Dominica, Ilha de. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2151,SECEX12_M239FOB12,Importações (FOB) - origem: Equador,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Equador. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2152,SECEX12_M240FOB12,Importações (FOB) - origem: Egito,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Egito. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2153,SECEX12_M243FOB12,Importações (FOB) - origem: Eritreia,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Eritreia. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2154,SECEX12_M244FOB12,Importações (FOB) - origem: Emirados Árabes Unidos,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Emirados Árabes Unidos. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:20:00.857-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2155,SECEX12_M245FOB12,Importações (FOB) - origem: Espanha,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Espanha. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2156,SECEX12_M246FOB12,Importações (FOB) - origem: Eslovênia,"As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Eslovênia. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
2157,SECEX12_M247FOB12,"Importações (FOB) - origem: Eslovaca, República","As importações são os valores das compras e outras entradas de mercadorias de propriedade de residentes no país, registrado na Balança Comercial do Balanço de Pagamentos. Refere-se ao valor dólar FOB (US$) das importações da origem: Eslovaca, República. O valor FOB  indica o preço da mercadoria em dólares americanos sob o Incoterm FOB (Free on Board), modalidade na qual o exportador é responsável por embarcar a mercadoria enquanto o importador assume o pagamento do frete, seguros e demais custos pós embarque. Segundo a fonte Secex/MDIC, país de origem é aquele onde foram cultivados os produtos agrícolas, extraídos os minerais ou fabricados os bens manufaturados, total ou parcialmente. Neste último caso, o país de origem é aquele no qual foi completada a última fase de processamento para que o produto adote sua forma final.",2021-01-11T16:22:00.673-03:00,Macroeconômico,MDIC/SECEX Países,"Ministério do Desenvolvimento, Indústria e Comércio Exterior, Secretaria de Comércio Exterior",www.mdic.gov.br,Mensal,US$,,A,5,BRA,True
